Feature ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
1ae19117308e0e8165f07e98f6ee3171	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			0.999474547
1b8176a16215497e9533a2046e678168	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999981059
1bb5d947053d69ffec127c749464b488	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9531868486
1bbe6de3d342db2a888b2822107e3e29	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7628269295
1bf2082066e0a03f6944662de74845fc	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia		0.725245242
1c8f10c6b2fff0454efedcb579d80f5b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999962469
1d8c7eeed397b34bf933900cbbd442ff	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus		0.9611936868
1df11f954c5739e51313d49fa39c00d7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.9697200451
1e39b3c5ca4fa6f09768b82ebaf2f03b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9993843855
1e4a5efee1e3eafdc34bfeac43b6639c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri	0.9938036824
1e78c3492f7a655d29a22467860131fc	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9850996659
1e7ffc928f422ed3123ecc37c4cde3c4	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8545232383
1f1f2b8e38201b112d19c822be96c984	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.9109884291
1f26620dd4cb035201e9f81ad44c7fcd	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9998300961
1fe699d84aa8004586c52c8c65968409	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7825421662
2003d1ec28ce8c309e0def69a560e6a9	Bacteria							0.9936873216
20a0024d7a4747cf04241bc45ddea4ca	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9938257035
2153abc69cddf1304f8bfbdbe60fb1b0	Bacteria	Firmicutes						0.8141315012
21649fb82bff23432fd4467b2308509d	Bacteria	Firmicutes	Clostridia	Clostridiales				0.7237741676
22026223740aa4b6376f724986d7bf12	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.982431166
22778adf788733c37bfa5fa55688dfe6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999999943
23885d56307b44852560d856e1afb27a	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9728036702
23f4c333bc50c5cf2c0f20855d049cc4	Bacteria	Firmicutes	Clostridia	Clostridiales	Mogibacteriaceae			0.9999913675
25def15fb42bed6855ede4893d27a21d	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	1
25f9108151677e3ca5099f82f83d1672	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.9999991627
27a371fd8b96cab918e1a925e9ab12a1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7141306579
27e5a0119bf0f99608903f79f07ce884	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8772421139
28a6b6108cff1310e90394cdbf3e2e4c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7			0.99998167
2973955c1aeb3771fa3c1adb241b302d	Bacteria	Firmicutes	Clostridia	Clostridiales				0.7403369025
2992c3fcfcf38bd669c9edd847d7f230	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9992007535
29c89215e92fdd70baab81756382bcee	Bacteria	Firmicutes						0.788557011
2bbc24a32486bb69233c7e2194e8cb05	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.839739555
2c1783758f980294621489a913a2b3b7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	formicigenerans	0.7244918092
2c2fea2e525150fe59bc9db32bbace18	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.7516768334
2c6dfb7a10772590ee902b361a4d4eaf	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9999438228
2ca34059456360f4888964a7f0c0694a	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.7264315178
2cd6512f8e611e575850706a04d5d278	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9998432139
2db10c53c78527cfba5caa44da949557	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9713487068
2dd0f0747ffac592fbfdd61f632cb87a	Bacteria	Firmicutes	Clostridia	Clostridiales				0.948893831
2e3c75c28bfd30a1e975951e8a4d586d	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		0.9979997482
2e8d008f50dadbc5669e0a605fee6ffc	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.850067178
2e8ee5afc42806e5858ada5405f72f00	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9999706245
2eb7bab7b0af702e4f18358968a8f7ff	Bacteria	Firmicutes	Clostridia	Clostridiales				0.8273422983
